id,name,diet,period,lived_in,type,length,taxonomy,named_by,species,link
1,saltopus,carnivorous,Late Triassic 221-210 million years ago,United Kingdom,small theropod,,Dinosauria,Huene (1910),elginensis,https://www.nhm.ac.uk/discover/dino-directory/saltopus.html
2,riojasaurus,herbivorous/omnivorous,Late Triassic 221-210 million years ago,Argentina,sauropod,5.15m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,Bonaparte (1969),incertus,https://www.nhm.ac.uk/discover/dino-directory/riojasaurus.html
3,tsintaosaurus,herbivorous,Late Cretaceous 84-71 million years ago,China,euornithopod,12.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Young (1958),spinorhinus,https://www.nhm.ac.uk/discover/dino-directory/tsintaosaurus.html
4,alamosaurus,herbivorous,Late Cretaceous 70-65 million years ago,USA,sauropod,21.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Gilmore (1922),sanjuanensis,https://www.nhm.ac.uk/discover/dino-directory/alamosaurus.html
5,iguanodon,herbivorous,Early Cretaceous 140-110 million years ago,United Kingdom,euornithopod,10.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Boulenger and van Beneden (1881),bernissartensis,https://www.nhm.ac.uk/discover/dino-directory/iguanodon.html
6,anserimimus,carnivorous,Late Cretaceous 84-65 million years ago,Mongolia,large theropod,3.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Barsbold (1988),planinychus,https://www.nhm.ac.uk/discover/dino-directory/anserimimus.html
7,emausaurus,herbivorous,Mid Jurassic 190-180 million years ago,Germany,armoured dinosaur,2.0m,Dinosauria Ornithischia Genasauria Thyreophora,Haubold (1991),ernsti,https://www.nhm.ac.uk/discover/dino-directory/emausaurus.html
8,struthiomimus,omnivorous,Late Cretaceous 76-74 million years ago,Canada,small theropod,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Osborn (1917),altus,https://www.nhm.ac.uk/discover/dino-directory/struthiomimus.html
9,rinchenia,omnivorous,Late Cretaceous 72-68 million years ago,Mongolia,small theropod,2.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Barsbold (1986),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/rinchenia.html
10,nigersaurus,herbivorous,Early Cretaceous 121-99 million years ago,Tunisia,sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,Sereno Beck Dutheil Larsson Lyon Moussa Sadleir Sidor Varricchio Wilson &amp; Wilson (1999),taqueti,https://www.nhm.ac.uk/discover/dino-directory/nigersaurus.html
11,othnielia,herbivorous,Late Jurassic 154-142 million years ago,USA,euornithopod,1.4m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Marsh (1877),rex,https://www.nhm.ac.uk/discover/dino-directory/othnielia.html
12,gallimimus,omnivorous,Late Cretaceous 74-70 million years ago,Mongolia,large theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Osmólska Roniewicz and Barsbold (1972),bullatus,https://www.nhm.ac.uk/discover/dino-directory/gallimimus.html
13,styracosaurus,herbivorous,Late Cretaceous 76-70 million years ago,USA,ceratopsian,5.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Lambe (1913),albertensis,https://www.nhm.ac.uk/discover/dino-directory/styracosaurus.html
14,indosuchus,carnivorous,Late Cretaceous 71-65 million years ago,India,large theropod,7.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Huene and Matley (1933),raptorius,https://www.nhm.ac.uk/discover/dino-directory/indosuchus.html
15,europasaurus,herbivorous,Late Jurassic 154-151 million years ago,Germany,sauropod,6.2m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,Sander Mateus Laven and Knötschke (2006),holgeri,https://www.nhm.ac.uk/discover/dino-directory/europasaurus.html
16,coelophysis,carnivorous,Late Triassic 225-190 million years ago,Zimbabwe,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,bauri,,https://www.nhm.ac.uk/discover/dino-directory/coelophysis.html
17,anchiceratops,herbivorous,Late Cretaceous 74-70 million years ago,Canada,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Brown (1914),ornatus,https://www.nhm.ac.uk/discover/dino-directory/anchiceratops.html
18,dicraeosaurus,herbivorous,Late Jurassic 150-135 million years ago,Tanzania,sauropod,20.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Janensch (1914),hansemanni,https://www.nhm.ac.uk/discover/dino-directory/dicraeosaurus.html
19,daspletosaurus,carnivorous,Late Cretaceous 76-74 million years ago,Canada,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Russell (1970),torosus,https://www.nhm.ac.uk/discover/dino-directory/daspletosaurus.html
20,ornithomimus,omnivorous,Late Cretaceous 74-65 million years ago,USA,large theropod,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Marsh (1890),velox,https://www.nhm.ac.uk/discover/dino-directory/ornithomimus.html
21,rhoetosaurus,herbivorous,Mid Jurassic 177-169 million years ago,Australia,sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda,Longman (1926),brownei,https://www.nhm.ac.uk/discover/dino-directory/rhoetosaurus.html
22,chinshakiangosaurus,herbivorous,Late Jurassic 159-142 million years ago,China,sauropod,11.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda,Yeh (1975),zhongheensis,https://www.nhm.ac.uk/discover/dino-directory/chinshakiangosaurus.html
23,proceratosaurus,carnivorous,Mid Jurassic 169-164 million years ago,United Kingdom,small theropod,4.1m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Woodward (1910),bradleyi,https://www.nhm.ac.uk/discover/dino-directory/proceratosaurus.html
24,sinraptor,carnivorous,Mid Jurassic 169-142 million years ago,China,large theropod,7.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,Gao (1992),hepingensis,https://www.nhm.ac.uk/discover/dino-directory/sinraptor.html
25,protohadros,herbivorous,Late Cretaceous 99-94 million years ago,USA,euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Head (1998),byrdi,https://www.nhm.ac.uk/discover/dino-directory/protohadros.html
26,neuquenosaurus,herbivorous,Late Cretaceous 71-65 million years ago,Argentina,sauropod,10.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,Lydekker (1893),australis,https://www.nhm.ac.uk/discover/dino-directory/neuquenosaurus.html
27,dryptosaurus,carnivorous,Late Cretaceous 84-65 million years ago,USA,large theropod,6.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Cope (1866),aquilunguis,https://www.nhm.ac.uk/discover/dino-directory/dryptosaurus.html
28,bactrosaurus,herbivorous,Late Cretaceous 84-71 million years ago,China,euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Gilmore (1933),johnsoni,https://www.nhm.ac.uk/discover/dino-directory/bactrosaurus.html
29,borogovia,carnivorous,Late Cretaceous 84-65 million years ago,Mongolia,small theropod,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Osmólska (1987),gracilicrus,https://www.nhm.ac.uk/discover/dino-directory/borogovia.html
30,dilophosaurus,carnivorous,Early Jurassic 190 million years ago,USA,large theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Dilophosauridae,wetherilli,,https://www.nhm.ac.uk/discover/dino-directory/dilophosaurus.html
31,gasosaurus,carnivorous,Mid Jurassic 170-160 million years ago,China,small theropod,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda,Dong and Tang (1985),constructus,https://www.nhm.ac.uk/discover/dino-directory/gasosaurus.html
32,garudimimus,omnivorous,Late Cretaceous 99-89 million years ago,Mongolia,large theropod,4.7m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Barsbold (1981),brevipes,https://www.nhm.ac.uk/discover/dino-directory/garudimimus.html
33,stegosaurus,herbivorous,Late Jurassic 155-145 million years ago,USA,armoured dinosaur,9.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Marsh (1877),armatus,https://www.nhm.ac.uk/discover/dino-directory/stegosaurus.html
34,cryolophosaurus,carnivorous,Early Jurassic 170 million years ago,Antarctica,large theropod,8.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,Hammer and Hickerson (1994),elliotti,https://www.nhm.ac.uk/discover/dino-directory/cryolophosaurus.html
35,hesperosaurus,herbivorous,Late Jurassic 154-142 million years ago,USA,armoured dinosaur,6.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Carpenter Miles and Cloward (2001),mjosi,https://www.nhm.ac.uk/discover/dino-directory/hesperosaurus.html
36,allosaurus,carnivorous,Late Jurassic 156-144 million years ago,USA,large theropod,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Marsh (1877),fragilis,https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html
37,cedarpelta,herbivorous,Early Cretaceous 142-127 million years ago,USA,armoured dinosaur,10.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Carpenter Kirkland Burge and Bird (2001),bilbeyhallorum,https://www.nhm.ac.uk/discover/dino-directory/cedarpelta.html
38,pachyrhinosaurus,herbivorous,Late Cretaceous 76-74 million years ago,Canada,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sternberg (1950),canadensis,https://www.nhm.ac.uk/discover/dino-directory/pachyrhinosaurus.html
39,kotasaurus,herbivorous,Early Jurassic 205-180 million years ago,India,sauropod,9.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda,Yadagiri (1988),yamanpalliensis,https://www.nhm.ac.uk/discover/dino-directory/kotasaurus.html
40,amygdalodon,herbivorous,Mid Jurassic 177-169 million years ago,Argentina,sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Cabrera (1947),patagonicus,https://www.nhm.ac.uk/discover/dino-directory/amygdalodon.html
41,neovenator,carnivorous,Early Cretaceous 127-121 million years ago,United Kingdom,large theropod,7.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Hutt Martill and Barker (1996),salerii,https://www.nhm.ac.uk/discover/dino-directory/neovenator.html
42,rhabdodon,herbivorous,Late Cretaceous 76-70 million years ago,Spain,euornithopod,4.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,Matherton (1869),priscus,https://www.nhm.ac.uk/discover/dino-directory/rhabdodon.html
43,cetiosaurus,herbivorous,Mid Jurassic 170-160 million years ago,United Kingdom,sauropod,18.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,Phillips (1871),oxoniensis,https://www.nhm.ac.uk/discover/dino-directory/cetiosaurus.html
44,segisaurus,carnivorous,Mid Jurassic 195-180 million years ago,USA,small theropod,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,Camp (1936),halli,https://www.nhm.ac.uk/discover/dino-directory/segisaurus.html
45,gilmoreosaurus,herbivorous,Late Cretaceous 76-70 million years ago,China,euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Brett-Surman (1979),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/gilmoreosaurus.html
46,maiasaura,herbivorous,Late Cretaceous 80-75 million years ago,USA,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Horner and Makela (1979),peeblesorum,https://www.nhm.ac.uk/discover/dino-directory/maiasaura.html
47,eoraptor,carnivorous,Late Triassic 228 million years ago,Argentina,small theropod,1.0m,Dinosauria Saurischia Theropoda,Sereno Forster Rogers and Monetta (1993),lunensis,https://www.nhm.ac.uk/discover/dino-directory/eoraptor.html
48,saichania,herbivorous,Late Cretaceous 80 million years ago,Mongolia,armoured dinosaur,6.6m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Maryañska (1977),chulsanensis,https://www.nhm.ac.uk/discover/dino-directory/saichania.html
49,urbacodon,carnivorous,Late Cretaceous 95 million years ago,Uzbekistan,small theropod,1.0m,Dinosauria Saurischia,Averianov and Sues (2007),itemirensis,https://www.nhm.ac.uk/discover/dino-directory/urbacodon.html
50,spinosaurus,carnivorous,Late Cretaceous 95-70 million years ago,Morocco,large theropod,18.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,Stromer (1915),aegyptiacus,https://www.nhm.ac.uk/discover/dino-directory/spinosaurus.html
51,herrerasaurus,carnivorous,Late Triassic 228 million years ago,Argentina,small theropod,3.0m,Dinosauria Saurischia Theropoda Herrerasauridae,Reig (1963),ischigualastensis,https://www.nhm.ac.uk/discover/dino-directory/herrerasaurus.html
52,erketu,herbivorous,Early Cretaceous,Mongolia,sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Ksepka and Norell (2006),ellisoni,https://www.nhm.ac.uk/discover/dino-directory/erketu.html
53,staurikosaurus,carnivorous,Late Triassic 227-221 million years ago,Brazil,large theropod,2.0m,Dinosauria Saurischia Theropoda Herrerasauridae,Colbert (1970),pricei,https://www.nhm.ac.uk/discover/dino-directory/staurikosaurus.html
54,aardonyx,herbivorous,Early Jurassic 199-189 million years ago,South Africa,sauropod,8.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria,Yates Bonnan Neveling Chinsamy and Blackbeard 2010 (2009),celestae,https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html
55,jinzhousaurus,herbivorous,Early Cretaceous 127-121 million years ago,China,euornithopod,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Wang and Xu (2001),yangi,https://www.nhm.ac.uk/discover/dino-directory/jinzhousaurus.html
56,chasmosaurus,herbivorous,Late Cretaceous 76-74 million years ago,Canada,ceratopsian,5.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,belli,,https://www.nhm.ac.uk/discover/dino-directory/chasmosaurus.html
57,protarchaeopteryx,carnivorous,Early Cretaceous 122-120 million years ago,China,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora,Ji and Ji (1997),robusta,https://www.nhm.ac.uk/discover/dino-directory/protarchaeopteryx.html
58,thecodontosaurus,omnivorous,Late Triassic 227-205 million years ago,United Kingdom,sauropod,2.5m,Dinosauria Saurischia Sauropodomorpha Prosauropoda,Morris (1843),antiquus,https://www.nhm.ac.uk/discover/dino-directory/thecodontosaurus.html
59,kritosaurus,herbivorous,Late Cretaceous 78-74 million years ago,USA,euornithopod,8.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1910),navajovius,https://www.nhm.ac.uk/discover/dino-directory/kritosaurus.html
60,udanoceratops,herbivorous,Late Cretaceous 81-75 million years ago,Mongolia,ceratopsian,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Kurzanov (1992),tschizhovi,https://www.nhm.ac.uk/discover/dino-directory/udanoceratops.html
61,polacanthus,herbivorous,Early Cretaceous 125 million years ago,United Kingdom,armoured dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Hulke (1881),foxii,https://www.nhm.ac.uk/discover/dino-directory/polacanthus.html
62,goyocephale,herbivorous,Late Cretaceous 81-75 million years ago,Mongolia,large theropod,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala,Perle Maryańska and Osmólska (1982),lattimorei,https://www.nhm.ac.uk/discover/dino-directory/goyocephale.html
63,euoplocephalus,herbivorous,Late Cretaceous 76-70 million years ago,USA,armoured dinosaur,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,tutus,,https://www.nhm.ac.uk/discover/dino-directory/euoplocephalus.html
64,brachytrachelopan,herbivorous,Mid Jurassic 150 million years ago,Argentina,sauropod,10.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Rauhut Remes Fechner Cladera and Puerta (2005),mesai,https://www.nhm.ac.uk/discover/dino-directory/brachytrachelopan.html
65,nanshiungosaurus,omnivorous,Late Cretaceous 84-71 million years ago,China,large theropod,4.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Dong (1979),brevispinus,https://www.nhm.ac.uk/discover/dino-directory/nanshiungosaurus.html
66,shuvuuia,omnivorous,Late Cretaceous 75-81 million years ago,Mongolia,small theropod,0.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Chiappe Norell and Clark (1998),deserti,https://www.nhm.ac.uk/discover/dino-directory/shuvuuia.html
67,tanius,herbivorous,Late Cretaceous 89-65 million years ago,China,euornithopod,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Wiman (1929),sinensis,https://www.nhm.ac.uk/discover/dino-directory/tanius.html
68,saurolophus,herbivorous,Late Cretaceous 74-70 million years ago,Mongolia,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1912),osborni,https://www.nhm.ac.uk/discover/dino-directory/saurolophus.html
69,homalocephale,herbivorous,Late Cretaceous 72-68 million years ago,Mongolia,euornithopod,1.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea,Maryańska and Osmólska (1974),calathocercos,https://www.nhm.ac.uk/discover/dino-directory/homalocephale.html
70,abelisaurus,carnivorous,Late Cretaceous 74-70 million years ago,Argentina,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,Bonaparte and Novas (1985),comahuensis,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html
71,lophorhothon,herbivorous,Late Cretaceous 84-71 million years ago,USA,euornithopod,4.5m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Xu Makovicky Wang Norell and You (1960),atopus,https://www.nhm.ac.uk/discover/dino-directory/lophorhothon.html
72,baryonyx,carnivorous,Early Cretaceous 125 million years ago,United Kingdom,large theropod,10.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,Charig and Milner (1987),walkeri,https://www.nhm.ac.uk/discover/dino-directory/baryonyx.html
73,utahraptor,carnivorous,Early Cretaceous 112-100 million years ago,USA,large theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Kirkland Gaston and Burge (1993),ostrommaysorum,https://www.nhm.ac.uk/discover/dino-directory/utahraptor.html
74,muttaburrasaurus,herbivorous,Early Cretaceous 110-100 million years ago,Australia,euornithopod,7.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Bartholomai and Molnar (1981),langdoni,https://www.nhm.ac.uk/discover/dino-directory/muttaburrasaurus.html
75,ampelosaurus,herbivorous,Late Cretaceous 71-65 million years ago,France,sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Le Loeuff (1995),atacis,https://www.nhm.ac.uk/discover/dino-directory/ampelosaurus.html
76,paralititan,herbivorous,Late Cretaceous 99-94 million years ago,Egypt,sauropod,28.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Smith Lamanna Lacovara Dodson Smith Poole Giegengack and Attia (2001),stromeri,https://www.nhm.ac.uk/discover/dino-directory/paralititan.html
77,becklespinax,carnivorous,Early Cretaceous 142-132 million years ago,United Kingdom,large theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,Paul (1988),altispinax,https://www.nhm.ac.uk/discover/dino-directory/becklespinax.html
78,chindesaurus,carnivorous,Late Triassic 227-210 million years ago,USA,small theropod,4.0m,Dinosauria Saurischia Theropoda Herrerasauridae,Long and Murry (1995),bryansmalli,https://www.nhm.ac.uk/discover/dino-directory/chindesaurus.html
79,chaoyangsaurus,herbivorous,Late Jurassic 152-145 million years ago,China,ceratopsian,1.1m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Zhao Cheng and Xu (1999),youngi,https://www.nhm.ac.uk/discover/dino-directory/chaoyangsaurus.html
80,ammosaurus,herbivorous,Early Jurassic 195-180 million years ago,USA,sauropod,5.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,Marsh (1891),major,https://www.nhm.ac.uk/discover/dino-directory/ammosaurus.html
81,torosaurus,herbivorous,Late Cretaceous 70-65 million years ago,USA,ceratopsian,7.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Marsh (1891),latus,https://www.nhm.ac.uk/discover/dino-directory/torosaurus.html
82,khaan,omnivorous,Late Cretaceous 81-75 million years ago,Mongolia,small theropod,1.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Clark Norell and Barsbold (2001),mckennai,https://www.nhm.ac.uk/discover/dino-directory/khaan.html
