id,name,diet,period,lived_in,type,length,taxonomy,named_by,species,link
163,harpymimus,omnivorous,Early Cretaceous 121-99 million years ago,Mongolia,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Barsbold and Perle (1984),okladnikovi,https://www.nhm.ac.uk/discover/dino-directory/harpymimus.html
164,yimenosaurus,herbivorous,Early Jurassic 195-190 million years ago,China,sauropod,9.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda,Bai Yang and Wang (1990),youngi,https://www.nhm.ac.uk/discover/dino-directory/yimenosaurus.html
165,barosaurus,herbivorous,Late Jurassic 155-145 million years ago,USA,sauropod,24.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1890),lentus,https://www.nhm.ac.uk/discover/dino-directory/barosaurus.html
166,megalosaurus,carnivorous,Mid Jurassic 170-155 million years ago,United Kingdom,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Ritgen (1826),bucklandii,https://www.nhm.ac.uk/discover/dino-directory/megalosaurus.html
167,lufengosaurus,herbivorous,Early Jurassic 200-195 million years ago,China,sauropod,6.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Young (1941),huenei,https://www.nhm.ac.uk/discover/dino-directory/lufengosaurus.html
168,thescelosaurus,herbivorous,Late Cretaceous 76-67 million years ago,USA,euornithopod,3.5m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Gilmore (1913),neglectus,https://www.nhm.ac.uk/discover/dino-directory/thescelosaurus.html
169,lycorhinus,herbivorous,Late Triassic 205-195 million years ago,South Africa,euornithopod,1.2m,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,Haughton (1924),angustidens,https://www.nhm.ac.uk/discover/dino-directory/lycorhinus.html
170,pelicanimimus,carnivorous,Early Cretaceous 127-121 million years ago,Spain,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Pérez-Moreno Sanz Buscalioni Moratalla Ortega and Rasskin-Gutman (1994),polyodon,https://www.nhm.ac.uk/discover/dino-directory/pelicanimimus.html
171,edmontosaurus,herbivorous,Late Cretaceous 76-65 million years ago,Canada,euornithopod,13.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Lambe (1917),regalis,https://www.nhm.ac.uk/discover/dino-directory/edmontosaurus.html
172,leaellynasaura,herbivorous,Early Cretaceous 115-110 million years ago,Australia,euornithopod,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Rich and Rich (1989),amicagraphica,https://www.nhm.ac.uk/discover/dino-directory/leaellynasaura.html
173,camptosaurus,herbivorous,Late Jurassic 155-145 million years ago,USA,euornithopod,5.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia,Marsh (1885),dispar,https://www.nhm.ac.uk/discover/dino-directory/camptosaurus.html
174,oviraptor,omnivorous,Late Cretaceous 85-75 million years ago,Mongolia,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Osborn (1924),philoceratops,https://www.nhm.ac.uk/discover/dino-directory/oviraptor.html
175,yunnanosaurus,omnivorous,Early Jurassic 205-190 million years ago,China,sauropod,7.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,Young (1942),huangi,https://www.nhm.ac.uk/discover/dino-directory/yunnanosaurus.html
176,sinornithosaurus,carnivorous,Early Cretaceous 122-120 million years ago,China,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Xu Wang and Wu (1999),millenii,https://www.nhm.ac.uk/discover/dino-directory/sinornithosaurus.html
177,shantungosaurus,herbivorous,Late Cretaceous 78-74 million years ago,China,euornithopod,15.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Hu (1973),giganteus,https://www.nhm.ac.uk/discover/dino-directory/shantungosaurus.html
178,euhelopus,herbivorous,Late Jurassic 154-142 million years ago,China,sauropod,10.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Wiman (1929),zdanskyi,https://www.nhm.ac.uk/discover/dino-directory/euhelopus.html
179,procompsognathus,carnivorous,Late Triassic 221-210 million years ago,Germany,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,Fraas (1913),triassicus,https://www.nhm.ac.uk/discover/dino-directory/procompsognathus.html
180,brachiosaurus,herbivorous,Late Jurassic 155-140 million years ago,USA,sauropod,30.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Riggs (1903),altithorax,https://www.nhm.ac.uk/discover/dino-directory/brachiosaurus.html
181,mamenchisaurus,herbivorous,Late Jurassic 155-145 million years ago,China,sauropod,22.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Young (1954),constructus,https://www.nhm.ac.uk/discover/dino-directory/mamenchisaurus.html
182,avaceratops,herbivorous,Late Cretaceous 80-75 million years ago,USA,ceratopsian,2.3m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Dodson (1986),lammersi,https://www.nhm.ac.uk/discover/dino-directory/avaceratops.html
183,yangchuanosaurus,carnivorous,Late Jurassic 160-144 million years ago,China,large theropod,10.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,Dong Chang Li and Zhou (1978),shangyouensis,https://www.nhm.ac.uk/discover/dino-directory/yangchuanosaurus.html
184,hylaeosaurus,herbivorous,Early Cretaceous 150-135 million years ago,United Kingdom,armoured dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Mantell (1833),armatus,https://www.nhm.ac.uk/discover/dino-directory/hylaeosaurus.html
185,aucasaurus,carnivorous,Late Cretaceous 84-71 million years ago,Argentina,large theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Coria Chiappe and Dingus (2002),garridoi,https://www.nhm.ac.uk/discover/dino-directory/aucasaurus.html
186,dromaeosaurus,carnivorous,Late Cretaceous 76-74 million years ago,USA,small theropod,1.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Matthew and Brown (1922),albertensis,https://www.nhm.ac.uk/discover/dino-directory/dromaeosaurus.html
187,sonidosaurus,herbivorous,Late Cretaceous 89-65 million years ago,China,sauropod,9.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Xu Zhang Tan Zhao and Tan (2006),saihangaobiensis,https://www.nhm.ac.uk/discover/dino-directory/sonidosaurus.html
188,prenocephale,herbivorous,Late Cretaceous 80-65 million years ago,Mongolia,euornithopod,2.4m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Maryańska and Osmólska (1974),prenes,https://www.nhm.ac.uk/discover/dino-directory/prenocephale.html
189,jaxartosaurus,herbivorous,Late Cretaceous 94-84 million years ago,Kazakhstan,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Riabinin (1939),aralensis,https://www.nhm.ac.uk/discover/dino-directory/jaxartosaurus.html
190,liaoceratops,herbivorous,Early Cretaceous 127-121 million years ago,China,ceratopsian,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Xu Makovicky Wang Norell and You (2002),yanzigouensis,https://www.nhm.ac.uk/discover/dino-directory/liaoceratops.html
191,jingshanosaurus,herbivorous,Early Jurassic 205-190 million years ago,China,sauropod,5.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,Zhang and Yang (1995),xinwaensis,https://www.nhm.ac.uk/discover/dino-directory/jingshanosaurus.html
192,gryposaurus,herbivorous,Late Cretaceous 86-71 million years ago,USA,euornithopod,10.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Lambe (1914),notabilis,https://www.nhm.ac.uk/discover/dino-directory/gryposaurus.html
193,cetiosauriscus,herbivorous,Mid Jurassic 175-160 million years ago,United Kingdom,sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea,von Huene (1927),stewarti,https://www.nhm.ac.uk/discover/dino-directory/cetiosauriscus.html
194,panoplosaurus,herbivorous,Late Cretaceous 79-75 million years ago,USA,armoured dinosaur,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Lambe (1919),mirus,https://www.nhm.ac.uk/discover/dino-directory/panoplosaurus.html
195,achillobator,carnivorous,Late Cretaceous 99-84 million years ago,Mongolia,large theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Perle Norell and Clark (1999),giganteus,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html
196,chubutisaurus,herbivorous,Early Cretaceous 112-99 million years ago,Argentina,sauropod,23.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Corro (1974),insignis,https://www.nhm.ac.uk/discover/dino-directory/chubutisaurus.html
197,saurornithoides,carnivorous,Late Cretaceous 85-80 million years ago,Mongolia,small theropod,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Osborn (1924),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/saurornithoides.html
198,huayangosaurus,herbivorous,Mid Jurassic 170-160 million years ago,China,armoured dinosaur,4.5m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Huayangosauridae,Dong Tang and Zhou (1982),taibaii,https://www.nhm.ac.uk/discover/dino-directory/huayangosaurus.html
199,minmi,herbivorous,Early Cretaceous 121-112 million years ago,Australia,armoured dinosaur,3.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Molnar (1980),paravertebra,https://www.nhm.ac.uk/discover/dino-directory/minmi.html
200,ceratosaurus,carnivorous,Late Jurassic 153-148 million years ago,USA,large theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Marsh (1884),nasicornis,https://www.nhm.ac.uk/discover/dino-directory/ceratosaurus.html
201,stegoceras,herbivorous,Late Cretaceous 76-74 million years ago,USA,euornithopod,2.4m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Lambe (1902),validum,https://www.nhm.ac.uk/discover/dino-directory/stegoceras.html
202,chirostenotes,omnivorous,Late Jurassic 79-67 million years ago,Canada,small theropod,1.7m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,Gilmore (1924),pergracilis,https://www.nhm.ac.uk/discover/dino-directory/chirostenotes.html
203,monolophosaurus,carnivorous,Mid Jurassic 180-159 million years ago,China,large theropod,5.7m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,Zhao and Currie (1993),jiangi,https://www.nhm.ac.uk/discover/dino-directory/monolophosaurus.html
204,zephyrosaurus,herbivorous,Early Cretaceous 120-110 million years ago,USA,euornithopod,1.8m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Sues (1980),schaffi,https://www.nhm.ac.uk/discover/dino-directory/zephyrosaurus.html
205,nothronychus,omnivorous,Late Cretaceous 94-89 million years ago,USA,large theropod,5.3m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Kirkland and Wolfe (2001),mckinleyi,https://www.nhm.ac.uk/discover/dino-directory/nothronychus.html
206,tuojiangosaurus,herbivorous,Late Jurassic 157-154 million years ago,China,armoured dinosaur,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Dong Li Zhou and Zhang (1973),multispinus,https://www.nhm.ac.uk/discover/dino-directory/tuojiangosaurus.html
207,zalmoxes,herbivorous,Late Cretaceous 69 million years ago,Romania,euornithopod,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,Nopcsa (1902),robustus,https://www.nhm.ac.uk/discover/dino-directory/zalmoxes.html
208,edmontonia,herbivorous,Late Cretaceous 76-74 million years ago,Canada,armoured dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Sternberg (1928),longiceps,https://www.nhm.ac.uk/discover/dino-directory/edmontonia.html
209,triceratops,herbivorous,Late Cretaceous 68-66 million years ago,USA,ceratopsian,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Marsh (1889),horridus,https://www.nhm.ac.uk/discover/dino-directory/triceratops.html
210,yingshanosaurus,herbivorous,Late Jurassic 159-142 million years ago,China,armoured dinosaur,,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria,Watanabe (1992),jichuanensis,https://www.nhm.ac.uk/discover/dino-directory/yingshanosaurus.html
211,plateosaurus,herbivorous,Late Triassic 210 million years ago,Switzerland,sauropod,7.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Meyer (1837),engelhardti,https://www.nhm.ac.uk/discover/dino-directory/plateosaurus.html
212,bagaceratops,herbivorous,Late Cretaceous 85-80 million years ago,Mongolia,ceratopsian,1.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Bagaceratopsidae,Maryanska and Osmolska (1975),rozhdestvenskyi,https://www.nhm.ac.uk/discover/dino-directory/bagaceratops.html
213,gargoyleosaurus,herbivorous,Late Jurassic 154-142 million years ago,USA,armoured dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Carpenter Miles and Cloward (1998),parkpinorum,https://www.nhm.ac.uk/discover/dino-directory/gargoyleosaurus.html
214,avimimus,omnivorous,Late Cretaceous 80-75 million years ago,Mongolia,small theropod,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Avimimidae,Kurzanov (1981),portentosus,https://www.nhm.ac.uk/discover/dino-directory/avimimus.html
215,coelurus,carnivorous,Late Jurassic 155-145 million years ago,USA,small theropod,1.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Marsh (1879),fragilis,https://www.nhm.ac.uk/discover/dino-directory/coelurus.html
216,pantydraco,herbivorous,Early Jurassic,Wales,euornithopod,3.0m,Dinosauria Saurischia,Galton Yates and Kermack 2007 (2003),caducus,https://www.nhm.ac.uk/discover/dino-directory/pantydraco.html
217,patagosaurus,herbivorous,Mid Jurassic 164-159 million years ago,Argentina,sauropod,18.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,Bonaparte (1979),fariasi,https://www.nhm.ac.uk/discover/dino-directory/patagosaurus.html
218,liliensternus,carnivorous,Late Triassic 205-202 million years ago,Germany,small theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda,Huene (1934),liliensterni,https://www.nhm.ac.uk/discover/dino-directory/liliensternus.html
219,irritator,carnivorous,Early Cretaceous 112-99 million years ago,Brazil,large theropod,6.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,Martill Cruickshank Frey Small and Clarke (1996),challengeri,https://www.nhm.ac.uk/discover/dino-directory/irritator.html
220,hadrosaurus,herbivorous,Late Cretaceous 78-74 million years ago,USA,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Leidy (1858),foulkii,https://www.nhm.ac.uk/discover/dino-directory/hadrosaurus.html
221,equijubus,herbivorous,Early Cretaceous 127-99 million years ago,China,euornithopod,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,You Luo Shubin Witmer Tang and Tang (2003),normani,https://www.nhm.ac.uk/discover/dino-directory/equijubus.html
222,gastonia,herbivorous,Early Cretaceous 142-127 million years ago,USA,armoured dinosaur,4.6m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Kirkland (1998),burgei,https://www.nhm.ac.uk/discover/dino-directory/gastonia.html
223,sinocalliopteryx,carnivorous,Early Cretaceous 125 million years ago,China,small theropod,2.37m,Dinosauria Saurischia,Ji Ji Lü and Yuan (2007),gigas,https://www.nhm.ac.uk/discover/dino-directory/sinocalliopteryx.html
224,shanag,carnivorous,Early Cretaceous 126-142 million years ago,Mongolia,small theropod,0.45m,Dinosauria Saurischia,Turner Hwang and Norell (2007),ashile,https://www.nhm.ac.uk/discover/dino-directory/shanag.html
225,heterodontosaurus,herbivorous,Early Jurassic 205 million years ago,South Africa,euornithopod,1.2m,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,Crompton and Charig (1962),tucki,https://www.nhm.ac.uk/discover/dino-directory/heterodontosaurus.html
226,omeisaurus,herbivorous,Mid Jurassic 169-159 million years ago,China,sauropod,20.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Young (1939),junghsiensis,https://www.nhm.ac.uk/discover/dino-directory/omeisaurus.html
227,supersaurus,herbivorous,Early Cretaceous 154-142 million years ago,USA,sauropod,35.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Jansen (1985),vivianae,https://www.nhm.ac.uk/discover/dino-directory/supersaurus.html
228,brachylophosaurus,herbivorous,Late Cretaceous 89-88 million years ago,USA,euornithopod,7.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,C. M. Sternberg (1953),canadensis,https://www.nhm.ac.uk/discover/dino-directory/brachylophosaurus.html
229,suchomimus,carnivorous,Early Cretaceous 121-112 million years ago,Niger,large theropod,11.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,Sereno Beck Dutheil Gado Larsson Lyon Marcot Rauhut Sadleir Sidor Varricchio Wilson and Wilson (1998),tenerensis,https://www.nhm.ac.uk/discover/dino-directory/suchomimus.html
230,agilisaurus,herbivorous,Late Jurassic 169-159 million years ago,China,euornithopod,1.5m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Peng (1990),louderbacki,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html
231,tenontosaurus,herbivorous,Early Cretaceous 120-110 million years ago,USA,euornithopod,7.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia,Ostrom (1970),tillettorum,https://www.nhm.ac.uk/discover/dino-directory/tenontosaurus.html
232,austrosaurus,herbivorous,Early Cretaceous 112-99 million years ago,Australia,sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Longman (1933),mckillopi,https://www.nhm.ac.uk/discover/dino-directory/austrosaurus.html
233,dubreuillosaurus,carnivorous,Late Jurassic 169-164 million years ago,France,large theropod,,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Allain (2005),valesdunensis,https://www.nhm.ac.uk/discover/dino-directory/dubreuillosaurus.html
234,lambeosaurus,herbivorous,Late Cretaceous 76-74 million years ago,Canada,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Parks (1923),lambei,https://www.nhm.ac.uk/discover/dino-directory/lambeosaurus.html
235,nemegtosaurus,herbivorous,Late Cretaceous 72-68 million years ago,Mongolia,sauropod,13.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,Nowinski (1971),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/nemegtosaurus.html
236,maxakalisaurus,herbivorous,Late Cretaceous 80 million years ago,Brazil,sauropod,13.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae Saltasaurinae,Kellner et al. (2006),topai,https://www.nhm.ac.uk/discover/dino-directory/maxakalisaurus.html
237,torvosaurus,carnivorous,Late Jurassic 155-144 million years ago,USA,large theropod,10.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Galton and Jensen (1979),tanneri,https://www.nhm.ac.uk/discover/dino-directory/torvosaurus.html
238,gobisaurus,herbivorous,Early Cretaceous 121-99 million years ago,China,armoured dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Vickaryous Russell Currie and Zhao (2001),domoculus,https://www.nhm.ac.uk/discover/dino-directory/gobisaurus.html
239,lurdusaurus,herbivorous,Early Cretaceous 121-112 million years ago,Niger,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Taquet &amp; Russell (1999),arenatus,https://www.nhm.ac.uk/discover/dino-directory/lurdusaurus.html
240,mussaurus,herbivorous,Late Triassic 221-210 million years ago,Argentina,sauropod,3.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Bonaparte and Vince (1979),patagonicus,https://www.nhm.ac.uk/discover/dino-directory/mussaurus.html
241,alioramus,carnivorous,Late Cretaceous 71-65 million years ago,Mongolia,large theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Kurzanov (1976),remotus,https://www.nhm.ac.uk/discover/dino-directory/alioramus.html
242,shamosaurus,herbivorous,Early Cretaceous 121-99 million years ago,Mongolia,armoured dinosaur,,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Tumanova (1983),scutatus,https://www.nhm.ac.uk/discover/dino-directory/shamosaurus.html
243,atlascopcosaurus,herbivorous,Early Cretaceous 121-97 million years ago,Australia,euornithopod,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Rich and Rich (1989),loadsi,https://www.nhm.ac.uk/discover/dino-directory/atlascopcosaurus.html
244,microraptor,carnivorous,Early Cretaceous 125-122 million years ago,China,small theropod,0.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Xu Zhou and Wang (2000),zhaoianus,https://www.nhm.ac.uk/discover/dino-directory/microraptor.html
245,carnotaurus,carnivorous,Late Cretaceous 70 million years ago,Argentina,large theropod,7.6m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Bonaparte (1985),sastrei,https://www.nhm.ac.uk/discover/dino-directory/carnotaurus.html
246,melanorosaurus,omnivorous,Late Triassic 227-221 million years ago,South Africa,sauropod,12.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,Haughton (1924),readi,https://www.nhm.ac.uk/discover/dino-directory/melanorosaurus.html
